,0
1545,5415930
1546,526337984
1547,32063100
1548,60992300
1549,51419100
1550,19172700
1551,10094300
1552,200176000
1553,52865600
1554,226902000
1555,156571008
1556,99267104
1557,60941100
1558,116101000
1559,47349700
1560,63749400
1561,157851008
1562,20152100
1563,42601400
1564,54510700
1565,134318000
1566,409451008
1567,165108992
1568,58419300
1569,126100000
1570,48552400
1571,22067600
1572,36360000
1573,669828992
1574,27143800
1575,45906200
1576,51035700
1577,78622400
1578,66236600
1579,3153580032
1580,303929984
1581,74199296
1582,11196700
1583,29706400
1584,18305000
1585,68070704
1586,40313600
1587,61218200
1588,40247400
1589,4787450
1590,8210640
1591,16750400
1592,916777024
1593,21370500
1594,154050000
1595,80461104
1596,20287600
1597,99704896
1598,18243700
1599,23594200
1600,58566100
1601,358715008
1602,94743504
1603,423510016
1604,119987000
1605,50265800
1606,172627008
1607,8895470
1608,23638200
1609,39338500
1610,345727008
1611,15370100
1612,529785984
1613,42116800
1614,16898100
1615,53609100
1616,78425296
1617,99429696
1618,95806000
1619,32781600
1620,17299700
1621,117285000
1622,125921000
1623,377577984
1624,130973000
1625,20346800
1626,80090704
1627,78840400
1628,35072800
1629,117004000
1630,1394400000
1631,23889900
1632,20166400
1633,14662300
1634,5547639808
1635,273868000
1636,132481000
1637,7343240
1638,34220400
1639,57296100
1640,65770700
1641,79190200
1642,2469449984
1643,18852500
1644,86596600
1645,84845800
1646,585297984
1647,221750000
1648,59920500
1649,128217000
1650,28964500
1651,36610800
1652,16344200
1653,22677100
1654,61249300
1655,71574096
1656,80071904
1657,17198400
1658,52320600
1659,24074900
1660,239982000
1661,11849300
1662,20518500
1663,94842800
1664,12556800
1665,65119700
1666,136967008
1667,36756800
1668,14544500
1669,738582016
1670,24254900
1671,79928000
1672,22857500
1673,4979830
1674,20869400
1675,13512800
1676,29186000
1677,1557129984
1678,22134400
1679,100514000
1680,424260000
1681,75800000
1682,79653600
1683,28466900
1684,63057900
1685,39935500
1686,89488800
1687,69906704
1688,29706100
1689,11614000
1690,246738000
